"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube","H Tube Sample","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Draft","IP","ID","Key"
"2018-01-30","06:46","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd",".5-1","T","","","T","0.00","","T","90","0","-10.0","-10.0","-7.5","-13.0","-7.0","-14.0","","Calm","C","Dylan Summers","","","2018-01-30 06:52:00","2018-01-30 06:52:00","fongemie","","0","71.255.134.162","3685","7h6tg"
"2018-01-30","06:52","","","","","","","","","","","","","","0.00","","","","","","","","","","","","","","","","","2018-01-30 06:52:12","2018-01-30 06:52:12","fongemie","","0","71.255.134.162","3686","qxrdj"
"2018-01-31","06:53","Clear","CLR","No precipitation","NO","","","","","","0","","","0","0.00","","0","90","0","-18.0","-14.5","-12.0","-19.0","-13.0","-20.0","N","Strong","S","DS","","","2018-01-31 07:01:53","2018-01-31 07:01:53","fongemie","","0","71.255.134.162","3687","h8tkr"
"2018-02-01","06:20","Overcast","OVC","No precipitation","NO","","","","","","0","","","0.2","0.00","","1","90","0","-7.5","-12.0","-12.5","-7.0","-7.0","-19.0","W","Light","L","DS","Snow boards wind affected. HN24 had blown clear of new snow, while HST had 1cm of drifted snow","","2018-02-01 07:00:38","2018-02-01 07:00:38","fongemie","","0","72.45.182.26","3688","q7vjb"
"2018-02-02","06:25","","","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd",".5","6","5.5","6","3.0","92","","NC","96","0","-10.5","-13.0","-14.0","-12.0","-7.0","-12.0","W","Moderate","M","DS","","","2018-02-02 07:40:03","2018-02-02 07:40:03","fongemie","","0","72.45.182.26","3689","ijqyw"
"2018-02-03","06:21","Broken","BKN","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","0.5","0","","","0.2","0.00","","NC","95","1","-24.5","-12.0","-11.0","-24.5","-11.0","-24.5","W","Moderate","M","SG","","","2018-02-03 06:48:34","2018-02-03 06:48:34","fongemie","","0","72.45.182.26","3690","mwywo"
"2018-02-04","06:15","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","0.5-1","0","","","0.1","0.00","","NC","95","0","-7.0","-8.5","-8.0","-8.5","-8.5","-25.0","SW","Moderate","M","SG","Trace of new snow probably blew off HN24 board","","2018-02-04 06:46:34","2018-02-04 06:46:34","fongemie","","0","71.255.134.162","3691","ubixi"
"2018-02-05","06:05","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Needles","nd","1-2","14","17.3","14","16.6","119","","NC","111","","-4.0","-5.0","-6.5","-4.5","0.0","-9.0","W","Moderate","M","SG","Needles were rimed.
Settlement not calculated because of slight drifting at stake.","","2018-02-05 06:57:14","2018-02-05 06:57:14","fongemie","","0","72.45.182.26","3692","76mi0"
"2018-02-06","06:21","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","1.5-3","1","","","1.6","0.00","","NC","115","","-11.0","-12.0","-9.0","-14.0","-4.5","-16.5","W","Light","L","SG","Scouring on HN24
Did not record settlement because of drifting around stake","","2018-02-06 06:52:35","2018-02-06 06:52:35","fongemie","","0","72.45.182.26","3693","xv1qi"
"2018-02-07","06:19","Overcast","OVC","No precipitation","NO","","","","","","3","1.6","3","1.0","53.33","5.3","24","115","3","-13.0","-11.0","-8.0","-14.0","-11.5","-17.0","W","Light","L","SG","","","2018-02-07 06:53:20","2018-02-07 06:53:20","fongemie","","0","72.45.182.26","3694","q3t9f"
"2018-02-08","06:09","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","0.5","20","25.1","19.8","19.2","127","13","NC","134","1","-16.5","-11.5","-9.5","-16.5","-5.5","-16.5","W","Moderate","M","SG","","","2018-02-08 07:03:42","2018-02-08 07:03:42","fongemie","","0","72.45.182.26","3695","k7d3m"
"2018-02-09","06:17","Broken","BKN","No precipitation","NO","","","","","","T","","","T","0.00","0.0","19","131","3","-12.0","-13.0","-10.0","-17.0","-12.0","-17.0","SW","Light","L","SG","","","2018-02-09 06:51:46","2018-02-09 06:51:46","fongemie","","0","72.45.182.26","3696","fkery"
"2018-02-10","06:10","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Graupel","gp","1-1.5","3","2.9","2.9","2.9","100","10","NC","133","1","-5.0","-7.0","-9.0","-4.5","-4.5","-16.0","NW","Light","L","SG","Density 97 kg/m3 (9.7%)
Drifting on board","","2018-02-10 06:56:34","2018-02-10 06:56:34","fongemie","","0","72.45.182.26","3697","6jt3"
"2018-02-11","06:16","Overcast","OVC","No precipitation","NO","","","","","","T","","","0.9","0.00","0.0","3","130","3","-1.0","-1.0","-1.0","-1.5","0.5","-4.5","","Calm","C","SG","","","2018-02-11 06:45:14","2018-02-11 06:45:14","fongemie","","0","71.255.134.162","3698","uco6s"
"2018-02-12","06:20","Broken","BKN","No precipitation","NO","","","","","","0","","","3.4","0.00","0.0","0","123","7","-5.0","-1.5","-2.0","-6.5","5.5","-6.5","W","Moderate","M","SG","","","2018-02-12 06:53:05","2018-02-12 06:53:05","fongemie","","0","72.45.182.26","3699","7boqn"
"2018-02-13","06:40","Clear","CLR","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","123","0","-14.0","-10.5","-7.5","-13.5","-17.0","-7.0","W","Moderate","M","DS","","","2018-02-13 07:17:55","2018-02-13 07:17:55","fongemie","","0","72.45.182.26","3700","2nnoj"
"2018-02-14","06:56","Broken","BKN","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","121","2","-5.0","-6.0","-4.5","-5.0","-5.0","-15.0","W","Moderate","M","DS","","","2018-02-14 06:59:31","2018-02-14 06:59:31","fongemie","","0","72.45.182.26","3701","mjnk6"
"2018-02-15","06:23","Clear","CLR","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","121","0","-2.5","-2.5","-3.5","-1.0","-1.0","-4.0","W","Light","L","DS","","","2018-02-15 06:57:39","2018-02-15 06:57:39","fongemie","","0","72.45.182.26","3702","on55g"
"2018-02-16","06:45","Overcast","OVC","No precipitation","NO","","","","","","0","","","0.3","0.00","0.0","0","118","3","0.0","0.0","0.0","1.5","3.5","-2.0","NW","Moderate","M","DS","","","2018-02-16 07:27:31","2018-02-16 07:27:31","fongemie","","0","72.45.182.26","3703","10v25"
"2018-02-17","06:15","Clear","CLR","No precipitation","NO","","","","","","4","4.7","4.0","4.1","117.50","11.8","4","120","2","-14.0","-4.5","-1.5","-14.0","1.0","-15.5","","Calm","C","SG","Density 117 kg/m3","","2018-02-17 06:52:07","2018-02-17 06:52:07","fongemie","","0","72.45.182.26","3704","wc9x7"
"2018-02-18","06:15","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","1.5-3","4","2.7","3.9","2.7","70","7","NC","125","","-7.5","-6.5","-5.0","-8.0","-7.5","-15.5","W","Light","L","SG","Density 71 kg/m3","","2018-02-18 07:00:11","2018-02-18 07:00:11","fongemie","","0","72.45.182.26","3705","9kbtm"
"2018-02-19","06:13","Clear","CLR","No precipitation","NO","","","","","","1","","","0.3","0.00","0.0","4","124","2","-6.5","-5.5","-5.0","-3.5","-3.5","-12.0","SW","Moderate","M","SG","","","2018-02-19 06:41:21","2018-02-19 06:41:21","fongemie","","0","71.255.134.162","3706","uayoj"
"2018-02-20","06:15","Overcast","OVC","Rain","RA","Light rain","RL","","","","0","","","4.8","0.00","0.0","0","116","8","0.5","0.0","0.0","5.5","6.5","-4.5","W","Light","L","SG","","","2018-02-20 06:43:22","2018-02-20 06:43:22","fongemie","","0","72.45.182.26","3707","uog40"
"2018-02-21","06:15","Scattered","SCT","No precipitation","NO","","","","","","0","","","6.8","0.00","0.0","0","100","16","0.0","0.0","0.0","12.0","12.0","5.5","W","Moderate","M","SG","","","2018-02-21 06:46:25","2018-02-21 06:46:25","fongemie","","0","71.255.134.162","3708","1cn2d"
"2018-02-22","06:20","Overcast","OVC","No precipitation","NO","","","","","","0","","","8.7","0.00","0.0","0","90","10","-5.0","-2.0","-1.5","-7.5","12.5","-7.5","","Calm","C","SG","","","2018-02-22 07:00:10","2018-02-22 07:00:10","fongemie","","0","72.45.182.26","3709","99s94"
"2018-02-23","06:19","Clear","CLR","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","90","0","-10.0","-6.5","-5.0","-10.5","-5.0","-10.5","","Calm","C","SG","","","2018-02-23 06:42:01","2018-02-23 06:42:01","fongemie","","0","72.45.182.26","3710","8xma1"
"2018-02-24","06:20","Overcast","OVC","No precipitation","NO","","","","","","2","","","8.8","0.00","0.0","2","92","0","-2.5","-2.0","-2.0","-3.0","0.0","-10.0","SW","Moderate","M","SG","2 cm sleet with dusting of snow. ~1 cm crust in the top of the sleet layer on the board.","","2018-02-24 06:56:56","2018-02-24 06:56:56","fongemie","","0","72.45.182.26","3711","w1vls"
"2018-02-25","06:15","Overcast","OVC","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","92","0","-9.0","-7.0","-4.5","-8.5","-2.5","-8.5","","Calm","C","SG","","","2018-02-25 06:39:37","2018-02-25 06:39:37","fongemie","","0","71.255.134.162","3712","ufbxd"
"2018-02-26","06:20","Overcast","OVC","No precipitation","NO","","","","","","6","12.1","6.5","9.2","186.15","18.6","6","100","","-4.5","-4.0","-3.5","-3.5","-1.0","-9.5","SW","Light","L","SG","Density 188 kg/m3","","2018-02-26 06:57:23","2018-02-26 06:57:23","fongemie","","0","71.255.134.162","3713","hc387"
"2018-02-27","06:22","Few","FEW","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","100","0","-8.5","-5.0","-4.5","-8.0","-1.5","-8.0","W","Moderate","M","DS","","","2018-02-27 06:50:59","2018-02-27 06:50:59","fongemie","","0","72.45.182.26","3714","tyysm"
"2018-03-18","06:17","Clear","CLR","No precipitation","NO","","","","","","T","","","1.5","0.00","0.0","T","197","","-19.5","-17.0","-13.0","-17.5","-14.0","-21.5","NW","Moderate","M","SG","Trace of snow on boards and in can most likely wind deposited. Settlement not reported due to drifting at stake.","","2018-03-18 07:50:23","2018-03-18 07:50:23","fongemie","","0","72.45.182.26","3715","9js4j"
"2018-02-28","06:23","Scattered","SCT","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","100","0","-3.5","-4.0","-3.5","-0.5","0.0","-7.0","W","Light","L","DS","","","2018-02-28 06:53:52","2018-02-28 06:53:52","fongemie","","0","72.45.182.26","3716","drter"
"2018-03-01","06:26","Obscured","X","No precipitation","NO","","","","","","T","","","0.1","0.00","0.0","T","99","1","-1.0","-1.5","-2.0","-1.0","5.0","-2.0","SW","Light","L","DS","","","2018-03-02 06:57:11","2018-03-02 06:57:11","fongemie","","0","72.45.182.26","3717","6ck86"
"2018-03-02","06:29","Obscured","X","Snow","SN","Moderate snowfall","S2","","","","","","","","0.00","0.0","","","","","","","","","","","","","","","","2018-03-02 06:57:54","2018-03-02 06:57:54","fongemie","","0","72.45.182.26","3718","q6532"
"2018-03-02","06:29","Obscured","X","Snow","SN","Moderate snowfall","S2","Stellars and dendrites","sd","1-2","1","","","0.9","0","0.0","NC","100","0","-3.5","-4.0","-3.0","-3.0","1.5","-5.5","","Calm","C","DS","","","2018-03-02 07:34:41","2018-03-02 07:34:41","fongemie","","0","72.45.182.26","3719","9hyvq"
"2018-03-03","06:15","Overcast","OVC","No precipitation","NO","","","","","","6","13.6","6.6","10.4","206.06","20.6","7","106","0","-2.0","-3.0","-2.5","-3.5","-1.5","-5.0","N","Light","L","SG","Density 205 kg/m3","","2018-03-03 06:54:44","2018-03-03 06:54:44","fongemie","","0","72.45.182.26","3720","aoayf"
"2018-03-04","06:13","Scattered","SCT","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","105","1","-6.0","-4.0","-3.0","-7.0","-1.0","-7.0","","Calm","C","SG","","","2018-03-04 06:34:10","2018-03-04 06:34:10","fongemie","","0","71.255.134.162","3721","d3sls"
"2018-03-05","06:15","Overcast","OVC","No precipitation","NO","","","","","","5","4.0","5.2","3.4","77","8","5","110","0","-6.5","-5.0","4.0","-7.5","-1.0","-7.5","","Calm","C","SG","Density 78 kg/m3","","2018-03-05 07:01:42","2018-03-05 07:01:42","fongemie","","0","72.45.182.26","3722","cspy0"
"2018-03-06","06:19","Clear","CLR","No precipitation","NO","","","","","","0","","","T","0.00","0.0","0","109","1","-12.0","-7.0","-5.0","-12.5","-4.0","-13.5","","Calm","C","SG","","","2018-03-06 06:45:45","2018-03-06 06:45:45","fongemie","","0","72.45.182.26","3723","hg5df"
"2018-03-07","06:17","Overcast","OVC","No precipitation","NO","","","","","","0","","","T","0.00","0.0","0","107","2","-8.5","-6.5","-5.0","-9.5","-1.0","-12.5","","Calm","C","SG","","","2018-03-07 06:42:43","2018-03-07 06:42:43","fongemie","","0","72.45.182.26","3724","zhxi"
"2018-03-08","06:05","Overcast","OVC","Snow","SN","Moderate snowfall","S2","Stellars and dendrites","sd","2-3","19","20.1","19.3","17.1","104","10","NC","127","","-8.0","-8.0","-6.0","-8.0","-8.0","-10.5","E","Light","L","SG","Precip Rate S3
ST- 2-3mm
ND- 2mm
PL- 1mm

Density 104 kg/m3","","2018-03-08 06:57:33","2018-03-08 06:59:20","fongemie","","0","72.45.182.26","3725","gi07p"
"2018-03-09","06:12","Overcast","OVC","No precipitation","NO","","","","","","11","8.8","11.1","7.3","79","8","29","136","2","-10.0","-9.0","-6.5","-12.0","-4.0","-13.0","","Calm","C","SG","","","2018-03-09 07:01:24","2018-03-09 07:01:24","fongemie","","0","71.255.134.162","3726","mmqbh"
"2018-03-10","06:12","Overcast","OVC","Snow","SN","Moderate snowfall","S2","Stellars and dendrites","sd","2-4","7","7.4","8.2","3.9","92","9","NC","142","","-8.5","-7.5","-7.0","-9.5","-5.0","-12.0","W","Moderate","M","SG","S3

Drifting at HN24, HS. Settlement not recorded because of drifting at HS stake.","","2018-03-10 06:54:11","2018-03-10 06:54:11","fongemie","","0","72.45.182.26","3727","goz6x"
"2018-03-11","07:10","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Graupel","gp","1-2","24","21.9","23.3","10.7","94","9","NC","165","1","-8.5","-8.0","-7.0","-9.0","-9.0","-9.5","SW","Light","L","SG","","","2018-03-11 08:41:36","2018-03-11 08:41:36","fongemie","","0","72.45.182.26","3728","aprx7"
"2018-03-12","06:13","Clear","CLR","No precipitation","NO","","","","","","3","3.0","3.0","2.0","100.00","10.0","30","158","10","-15.0","-10.0","-7.0","-13.5","-7.0","-13.5","","Calm","C","SG","","","2018-03-12 07:55:34","2018-03-12 07:55:34","fongemie","","0","72.45.182.26","3729","q3xxh"
"2018-03-13","06:25","Obscured","X","Snow","SN","Very light snowfall","S-1","Graupel","gp","1-2","1","","","0.4","0.00","0.0","NC","153","6","-8.0","-6.5","-5.5","-9.0","-14.0","-1.0","","Calm","C","DS","","","2018-03-13 09:03:44","2018-03-13 09:03:44","fongemie","","0","72.45.182.26","3730","wp9hf"
"2018-03-14","07:15","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","1-2","40","32.0","40.5","24.1","79","8","NC","189","4","-7.0","-6.5","-7.5","-7.5","-7.5","-9.5","","Calm","C","DS","","","2018-03-14 08:48:57","2018-03-14 08:48:57","fongemie","","0","72.45.182.26","3731","ms1r8"
"2018-03-15","06:22","Obscured","X","Snow","SN","Moderate snowfall","S2","Graupel","gp","2-3","27","76.3","81.3","16.8","94","9","NC","204","12","-9.0","-8.5","-7.5","-8.5","-2.5","-9.0","W","Strong","S","DS","","","2018-03-15 20:39:15","2018-03-15 20:39:15","fongemie","","0","72.45.182.26","3732","tn4c3"
"2018-03-16","06:24","Obscured","X","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","0.5-1","8","10.6","8.5","8.9","125","13","53","201","11","-10.0","-10.0","-11.5","-12.5","-8.0","-12.5","W","Strong","S","DS","","","2018-03-16 16:53:02","2018-03-16 16:53:02","fongemie","","0","72.45.182.26","3733","8ebmw"
"2018-03-17","06:20","Overcast","OVC","No precipitation","NO","","","","","","6","11.7","6.9","1.4","170","17","3","195","12","-16.5","-14.0","-11.5","-17.0","-9.5","-17.0","SW","Strong","S","SG","Drifting on boards.","","2018-03-17 08:29:09","2018-03-17 08:29:09","fongemie","","0","72.45.182.26","3734","ismk7"
"2018-03-19","06:19","Clear","CLR","No precipitation","NO","","","","","","0","","","0.2","0.00","0.0","0","184","13","-19.0","-17.0","-14.0","-18.0","-12.0","-20.0","W","Strong","S","SG","","","2018-03-19 07:49:18","2018-03-19 07:49:18","fongemie","","0","72.45.182.26","3735","z68s5"
"2018-03-20","06:16","Clear","CLR","No precipitation","NO","","","","","","0","","","T","0.00","0.0","0","179","5","-12.5","-13.0","-12.0","-9.0","-9.0","-18.0","W","Strong","S","SG","","","2018-03-20 07:58:34","2018-03-20 07:58:34","fongemie","","0","72.45.182.26","3736","ivop4"
"2018-03-21","06:15","Clear","CLR","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","175","4","-14.0","-13.0","-11.5","-13.5","-1.0","-14.0","","Calm","C","SG","","","2018-03-21 07:41:56","2018-03-21 07:41:56","fongemie","","0","72.45.182.26","3737","cbvrv"
"2018-03-22","06:13","Overcast","OVC","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","173","2","-7.0","-7.0","-6.5","-6.5","1.0","-13.5","","Calm","C","SG","","","2018-03-22 07:38:44","2018-03-22 07:38:44","fongemie","","0","71.255.134.162","3738","bguur"
"2018-03-23","06:18","Scattered","SCT","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","170","3","-8.5","-7.5","-7.0","-6.0","1.5","-8.0","SW","Light","L","SG","","","2018-03-23 07:40:25","2018-03-23 07:48:52","fongemie","","0","72.45.182.26","3739","2qbj3"
"2018-03-24","06:16","Overcast","OVC","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","168","2","-8.0","-8.0","-7.5","-6.5","1.5","-9.0","","Calm","C","SG","","","2018-03-24 07:43:57","2018-03-24 07:43:57","fongemie","","0","72.45.182.26","3740","klpqi"
"2018-03-25","06:16","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1.5-3","7","2.5","6.9","2.5","36","4","NC","172","3","-9.0","-7.5","-6.0","-9.5","1.5","-9.5","","Calm","C","SG","","","2018-03-25 07:59:01","2018-03-25 08:06:52","fongemie","","0","71.255.134.162","3741","f6rrl"
"2018-03-26","06:20","Clear","CLR","No precipitation","NO","","","","","","0","","","T","0.00","0.0","4","169","3","-13.5","-9.5","-7.0","-13.5","0.0","-13.5","","Calm","C","SG","","","2018-03-26 07:46:33","2018-03-26 07:46:33","fongemie","","0","72.45.182.26","3742","d5hxp"
"2018-03-27","06:17","Clear","CLR","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","165","4","-12.5","-10.0","-7.5","-12.0","5.0","-13.5","","Calm","C","SG","","","2018-03-27 07:40:38","2018-03-27 07:40:38","fongemie","","0","72.45.182.26","3743","k4h9c"
"2018-03-28","06:20","Overcast","OVC","No precipitation","NO","","","","","","1","","","1.3","0.00","0.0","NC","162","4","-3.5","-4.0","-4.0","-1.0","10.0","-9.5","SW","Moderate","M","DS","","","2018-03-28 08:31:16","2018-03-28 08:31:16","fongemie","","0","72.45.182.26","3744","5sl93"
"2018-03-29","06:15","Clear","CLR","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","159","3","-5.5","-4.5","-3.5","-5.5","6.5","-5.5","","Calm","C","DS","HST melted yesterday before it was measured. Was 1cm on 3/28 at 0620","","2018-03-29 07:45:33","2018-03-29 07:45:33","fongemie","","0","72.45.182.26","3745","945cx"
"2018-03-30","06:27","Overcast","OVC","Rain","RA","Light rain","RL","","","","0","","","9.7","0.00","0.0","0","151","8","-1.0","-1.0","-0.5","8.0","8.0","-4.5","W","Moderate","M","DS","","","2018-03-30 07:59:55","2018-03-30 07:59:55","fongemie","","0","72.45.182.26","3746","6ytp5"
"2018-03-31","06:16","Few","FEW","No precipitation","NO","","","","","","T","","","2.3","0.00","0.0","T","145","6","-10.5","-5.5","-4.5","-10.0","8.0","-10.0","W","Moderate","M","DS","","","2018-03-31 07:55:18","2018-03-31 07:55:18","fongemie","","0","71.255.134.162","3747","66v55"
"2018-04-01","06:18","Overcast","OVC","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","144","1","-3.5","-3.0","-3.0","-1.0","1.0","-10.0","E","Light","L","DS","","","2018-04-01 07:50:12","2018-04-01 07:50:12","fongemie","","0","72.45.182.26","3748","51dc8"
"2018-04-02","06:14","Overcast","OVC","No precipitation","NO","","","","","","T","","","0.1","0.00","0.0","T","144","0","-9.0","-8.5","-6.5","-10.0","0.5","-10.0","","Calm","C","DS","","","2018-04-02 07:49:24","2018-04-02 07:49:24","fongemie","","0","72.45.182.26","3749","bc8c8"
"2018-04-03","06:17","Overcast","OVC","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","144","0","-6.0","-6.0","-5.5","-5.0","-1.0","-10.5","W","Light","L","SG","","","2018-04-03 07:44:41","2018-04-03 07:44:41","fongemie","","0","71.255.134.162","3750","rifdr"
"2018-04-04","06:10","Overcast","OVC","No precipitation","NO","","","","","","1","2.5","1.2","1.5","208","21","1","144","1","0.0","-3.0","-3.0","1.5","3.0","-5.0","SW","Light","L","SG","Since returning to cabin, precipitation has begun again as sleet. S-1.

HN24 board held wet snow with sleet on top.","","2018-04-04 07:46:18","2018-04-04 07:46:18","fongemie","","0","72.45.182.26","3751","yz8nb"
"2018-04-05","06:18","Overcast","OVC","No precipitation","NO","","","","","","T","","","5.3","0.00","0.0","T","142","2","-13.0","-6.5","-3.5","-15.0","2.5","-15.0","SW","Strong","S","SG","","","2018-04-05 07:52:14","2018-04-05 07:52:14","fongemie","","0","72.45.182.26","3752","lg9ak"
"2018-04-06","06:14","Few","FEW","No precipitation","NO","","","","","","0","","","0","0.00","0.0","0","142","0","-14.5","-10.0","-5.0","-13.5","-10.5","-15.0","W","Light","L","SG","","","2018-04-06 07:38:07","2018-04-06 07:38:07","fongemie","","0","72.45.182.26","3753","ywm25"
"2018-04-07","06:14","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Irregular crystals","ir","0.5","16","14.5","16.1","9.5","92","9","NC","160","","-6.5","-6.0","-6.0","-8.0","-2.0","-13.5","SW","Moderate","M","SG","GP 1.5 mm observed falling.
GP 1-3 mm on snow surface.","","2018-04-07 07:57:40","2018-04-07 07:57:40","fongemie","","0","72.45.182.26","3754","ib40y"
"2018-04-08","06:17","Clear","CLR","No precipitation","NO","","","","","","1","","","0.1","0.00","0.0","12","159","2","-15.0","-9.0","-5.5","-15.0","-3.5","-15.0","","Calm","C","DS","","","2018-04-08 07:58:24","2018-04-08 07:58:24","fongemie","","0","72.45.182.26","3755","w9rbo"
"2018-04-09","06:15","Overcast","OVC","No precipitation","NO","","","","","","8","3.5","7.8","2.0","45","5","8","164","3","-15.0","-9.5","-6.0","-15.5","0.0","-15.5","SW","Moderate","M","SG","","","2018-04-09 07:51:47","2018-04-09 07:51:47","fongemie","","0","71.255.134.162","3756","pf7m6"
"2018-04-10","06:25","Few","FEW","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1-2","T","","","T","0.00","0.0","T","159","5","-9.5","-8.5","-6.5","-10.5","-10.0","-14.0","W","Light","L","DS","","","2018-04-10 08:15:26","2018-04-10 08:15:26","fongemie","","0","71.255.134.162","3757","qk627"
"2018-04-11","06:19","Clear","CLR","No precipitation","NO","","","","","","11","6.8","11.1","5.5","61","6","11","167","3","-9.5","-7.5","-6.0","-10.0","-0.5","-11.5","W","Light","L","DS","","","2018-04-11 08:37:59","2018-04-11 08:37:59","fongemie","","0","72.45.182.26","3758","orlza"
