"Date","Time","Sky Condition (label)","Sky Condition","Precip Type (label)","Precip Type","Precip Rate (label)","Precip Rate","Grain Form (label)","Grain Form","Grain Size (mm)","HN24","H24W in Tube (weight of tube sample)","H Tube Sample (height of snow in tube)","H24W Can","Density p (kg/m3)","Density (%)","HST","HS","Settlement/Melt","Temp Surface","Temp 10cm","Temp 20cm","Temp Current","Temp Max","Temp Min","Wind Direction","Wind Speed (label)","Wind Speed","Observers Name","Comments","User ID","Timestamp","Last Updated","Created By","Updated By","Draft","IP","ID","Key"
"2018-12-08","05:30","Clear","CLR","No precipitation","NO","","","","","","2","","","","","","7","100","2","-20.0","-14.0","-12.0","-19.0","-9.5","-20.0","NW","Light","L","Charlotte","Hst - settled. Would be at 9 cm elsewise.","","2018-12-08 05:54:40","2018-12-08 05:54:40","fongemie","","0","174.192.0.102","4437","gls60"
"2018-12-09","05:32","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","2","1","","","","","","1","99","2","-15.0","-12.5","-10.0","-14.4","-14.4","-19.4","NW","Light","L","Charlotte","Drifting occurred overnight - 4+ inches in some places on trails","","2018-12-09 05:57:40","2018-12-09 05:57:40","fongemie","","0","174.192.18.216","4438","o6lrp"
"2018-12-10","05:29","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1.5","1","","","","","","1","98","2","-11.0","-10.0","-8.0","-11.6","-10.0","-16.0","NW","Light","L","Charlotte","","","2018-12-10 05:54:31","2018-12-10 05:54:31","fongemie","","0","174.192.1.11","4439","tcwth"
"2018-12-11","05:29","Clear","CLR","No precipitation","NO","","","","","","T","","","","","","T","98","0","-12.5","-11.0","-9.5","-11.5","-11.5","-15.5","W","Calm","C","Charlotte","Noticeable drifting observed on exposed eastern facing slopes yesterday evening

Substantial melt crust ~16 cm down fron surface","","2018-12-11 05:51:23","2018-12-11 05:51:23","fongemie","","0","174.192.3.177","4440","9qzly"
"2018-12-12","05:29","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1.5","1","","","","","","1","98","1","-11.0","-11.0","-11.0","-11.0","-10.0","-13.0","NW","Calm","C","Charlotte","","","2018-12-12 05:49:17","2018-12-12 05:49:17","fongemie","","0","174.192.27.4","4441","7gpo2"
"2018-12-13","05:30","Clear","CLR","No precipitation","NO","","","","","","2","1.5","2.0","","","","2","99","1","-21.0","-18.0","-14.0","-13.0","-11.0","-18.0","W","Calm","C","Charlotte","","","2018-12-13 05:59:41","2018-12-13 05:59:41","fongemie","","0","174.192.4.255","4442","kkrsi"
"2018-12-14","05:50","Few","FEW","","","","","","","","","","","","","","","98","1","-4.0","-8.0","-10.0","-4.0","-5.5","-12.0","","Light","L","Merike Youngs","","","2018-12-14 06:13:37","2018-12-14 06:13:37","fongemie","","0","174.192.5.50","4443","wy3te"
"2018-12-15","05:50","Clear, Obscured","CLR, X","","","","","","","","","","","","","","","97","1","-2.0","-4.0","-6.0","-2.0","0.0","-5.0","","Moderate","M","Merike","","","2018-12-15 06:16:17","2018-12-15 06:16:17","fongemie","","0","174.192.16.205","4444","4rnrc"
"2018-12-16","06:00","","","","","","","","","","","","","","","","","97","","-5.0","-8.0","-8.0","-1.5","-1.0","-6.0","","Moderate","M","Merike Youngs","","","2018-12-16 06:06:53","2018-12-16 06:06:53","fongemie","","0","174.192.21.253","4445","qyr41"
"2018-12-17","05:50","Clear, Overcast","CLR, OVC","No precipitation, Snow","NO, SN","Light snowfall","S1","Colums, Needles","cl, nd","2","1","","","","","","1","98","","-2.0","-4.0","-6.0","-0.5","1.0","-5.0","","Light","L","Merike Youngs","Very windy yesterday afternoon/evening, from the south; noticed drifting on the western-facing slopes.","","2018-12-17 06:09:13","2018-12-17 06:09:13","fongemie","","0","174.192.23.246","4446","aea1e"
"2018-12-18","05:50","Overcast","OVC","Snow","SN","Light snowfall","S1","Irregular crystals","ir","&lt;1","8","14.0","","","","","8","104","","-17.0","-13.0","-10.0","-17.0","-0.5","-17.0","","Moderate","M","Merike Youngs","Lots of drifting, very light snow, which accounts for why the HST is the same as the HN24 despite HST starting yesterday with a bit of snow. Definitely some stellar plates in the mix of flakes, but most crystals are so tiny I can't see a specific form.","","2018-12-18 06:16:23","2018-12-18 06:16:23","fongemie","","0","97.35.2.14","4447","e76uy"
"2018-12-19","05:50","Clear","CLR","","","","","","","","","","","","","0.0","4","107","","-13.0","-13.0","-13.0","-13.0","-13.0","-17.0","","Moderate","M","Merike","Lots of wind has blown the snow plates clear, so HN24 and HST are reading extra low. 
Snow crystals from the storm were again, hard to determine, but definitely some stellar plates in there!","","2018-12-19 06:10:33","2018-12-19 06:10:33","fongemie","","0","97.47.82.154","4448","yrfju"
"2018-12-20","05:50","Clear","CLR","No precipitation","NO","","","","","","","","","","","0.0","","105","2","-6.0","-8.0","-8.0","0.0","0.0","-13.0","","Light","L","Merike Youngs","","","2018-12-20 06:02:07","2018-12-20 06:02:07","fongemie","","0","174.192.61.18","4449","th3qu"
"2018-12-21","06:15","Overcast","OVC","Rain","RA","Light rain","RL","","","","","","","","","0.0","","89","16","1.0","0.0","0.0","4.4","4.4","-3.9","","Strong","S","Kevin","STRONG GUSTY WINDS MADE IT HARD To PREDICT TRUE WIND DIRECTION","","2018-12-21 06:19:22","2018-12-21 06:19:22","fongemie","","0","174.192.52.54","4450","llsp5"
"2018-12-23","06:06","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","2","2","","","","","0.0","3","58","2","-10.0","-5.0","-2.0","-14.4","4.4","-14.4","NW","Light","L","Kevin","Drifting snow due to high winds from yesterday and last night. Yesterday we went from rain to freezing rain to snow.","","2018-12-23 06:12:46","2018-12-23 06:12:46","fongemie","","0","174.192.6.119","4451","r85ti"
"2018-12-24","05:52","Overcast","OVC","Snow","SN","Very light snowfall","S-1","","","","","","","","","0.0","","","","-10.0","-9.0","-11.0","-10.6","-17.2","-15.5","NW","Light","L","Kevin","Trace of snow","","2018-12-24 05:55:15","2018-12-24 05:55:15","fongemie","","0","97.46.79.21","4452","mwjbv"
"2018-12-25","05:30","Clear","CLR","No precipitation","NO","","","","","","8","8.0","5.0","","","16.0","8","69","","-18.0","-13.0","-8.0","-16.1","-7.7","-16.1","NW","Calm","C","Charlotte","Happy holidays, fresh snowww!","","2018-12-25 05:46:45","2018-12-25 05:46:45","fongemie","","0","174.192.5.3","4453","v37lp"
"2018-12-26","05:29","Few","FEW","No precipitation","NO","","","","","","","","","","","0.0","","66","3","-17.0","-13.0","-9.0","-16.6","-14.0","-16.6","NW","Moderate","M","Charlotte","Drifting on exposed slopes, above treeline. Winds steadily picking up since yesterday afternoon.","","2018-12-26 05:46:13","2018-12-26 05:46:13","fongemie","","0","174.192.7.21","4454","vh7oz"
"2018-12-27","05:30","Clear","CLR","No precipitation","NO","","","","","","5","5.0","2.5","","","20.0","5","70","1","-16.0","-12.0","-8.0","-16.1","-11.6","-16.6","NW","Calm","C","Charlotte","","","2018-12-27 05:46:53","2018-12-27 05:46:53","fongemie","","0","174.192.11.79","4455","ffbtb"
"2018-12-28","05:50","Overcast","OVC","Snow","SN","Light snowfall","S1","Ice pellets","ip","1","4","15.0","","","","","4","69","1","-2.0","-4.0","-6.0","-2.0","-2.0","-16.0","","Strong","S","Merike","Sleeting now, but what fell overnight is (a bit) more snow-like.","","2018-12-28 06:13:44","2018-12-28 06:13:44","fongemie","","0","97.41.130.163","4456","i2xom"
"2018-12-29","05:50","Obscured","X","Rain","RA","Light rain","RL","","","","","","","","","0.0","","58","10","0.0","-2.0","-2.0","3.0","5.0","-2.0","","Strong","S","Merike Youngs","Winds drifted the sleety snow around yesterday before it switched over to rain. ½"" of rain past 24 hrs. The snow is SATURATED.","","2018-12-29 06:05:15","2018-12-29 06:05:15","fongemie","","0","174.192.19.33","4457","88ilq"
"2018-12-30","05:50","Scattered","SCT","","","","","","","","T","","","","","0.0","","58","","-10.0","-11.0","-8.0","-10.0","5.0","-15.0","","Light","L","Merike Youngs","","","2018-12-30 06:02:25","2018-12-30 06:02:25","fongemie","","0","174.192.38.120","4458","x1old"
"2018-12-31","05:50","Overcast","OVC","","","","","","","","1","","","","","0.0","1","59","","-6.0","-8.0","-7.0","-8.0","-7.0","-10.0","","Calm","C","Merike Youngs","","","2018-12-31 06:01:26","2018-12-31 06:01:26","fongemie","","0","174.192.4.57","4459","v4ajk"
"2019-01-01","05:45","Overcast","OVC","Rain","RA","Light rain","RL","","","","1","","","","","0.0","1","60","","0.0","-2.0","-4.0","2.0","3.5","-8.0","","Strong","S","Merike Youngs","Sorry I don't have a volume for rain--was too optimistic that it would stay snow.","","2019-01-01 06:00:45","2019-01-01 06:00:45","fongemie","","0","174.192.14.66","4460","ytcsn"
"2019-01-02","05:50","Few","FEW","","","","","","","","T","","","","","0.0","T","61","","-16.0","-12.0","-7.0","-16.0","2.0","-16.0","","Light","L","Merike Youngs","Top of snow pack is mainly a hard wind-blown crust, with yesterday's dusting of snow drifted into a few spots.","","2019-01-02 05:58:45","2019-01-02 05:58:45","fongemie","","0","174.192.12.164","4461","qs2ze"
"2019-01-03","05:50","Obscured","X","Snow","SN","Moderate snowfall","S2","Stellars and dendrites","sd","1.5","6","12.0","6.0","","","20.0","6","68","","-8.0","-8.0","-8.0","-8.0","-7.5","-16.0","","Moderate","M","Merike Youngs","Light snow, lots of drifting!","","2019-01-03 06:10:20","2019-01-03 06:10:20","fongemie","","0","97.46.93.248","4462","44k2s"
"2019-01-04","05:30","Scattered","SCT","No precipitation","NO","","","","","","4","5.0","3.8","","","13","4","70","2","8.5","-7.0","-7.0","-7.5","-7.5","-9.0","NW","Moderate","M","Charlotte","Windy, with regular gusts. Some drifting on trails, including shreltered areas. 
Seriously icy surface beneath fresh snow where previous travel has occurred.
Less drifting today than last night.","","2019-01-04 05:52:36","2019-01-04 05:52:36","fongemie","","0","174.192.2.35","4463","h7upe"
"2019-01-05","05:30","Clear","CLR","No precipitation","NO","","","","","","0","","","","","0.0","0","67","3","-5.0","-5.0","-5.0","-1.0","-1.0","-7.5","W","Calm","C","Charlotte","Little to no drifting in snow plot over last 24 hour period. 
Trails around treeline w/ western aspect are fairly scoured of snow.","","2019-01-05 05:46:52","2019-01-05 05:46:52","fongemie","","0","174.192.34.147","4464","oxj75"
"2019-01-06","05:45","Obscured","X","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1.5","T","","","","","0.0","T","66","1","-7.0","-3.0","-5.0","-6.0","1.0","-6.0","NW","Light","L","Charlotte","Fresh light snow is actively blowing about on the hardened melt surface from yesterday.","","2019-01-06 05:56:54","2019-01-06 05:56:54","fongemie","","0","174.192.24.70","4465","2ecbr"
"2019-01-07","05:30","Clear","CLR","No precipitation","NO","","","","","","5","4.5","5.0","","","9.0","5","71","0","-22.0","-8.0","-6.0","-22.0","-5.5","-22.0","","Moderate","M","Charlotte","Stronger winds overnight resulted in blowing snows. Would guess we got closer to 6cm? Snow boards were affected by wind, ranging from 4 cm to 5 cm.","","2019-01-07 05:52:12","2019-01-07 05:52:12","fongemie","","0","174.192.17.243","4466","a2kec"
"2019-01-13","05:50","","","","","","","","","","T","","","","","0.0","T","99","5","-22.0","-20.0","-19.0","-16.0","-12.0","-25.0","","Calm","C","Merike","Finally clear and calm after three days of very cold winds and blowing snow!","","2019-01-13 05:59:06","2019-01-13 05:59:06","fongemie","","0","174.192.46.240","4467","wrr6z"
"2019-01-14","05:45","","","","","","","","","","0","","","","","0.0","0","96","3","-18.0","-18.0","-18.0","-14.0","-14.0","-16.0","","Light","L","Merike","","","2019-01-14 05:55:04","2019-01-14 05:55:04","fongemie","","0","174.192.15.29","4468","tbhel"
"2019-01-15","05:45","Overcast","OVC","","","","","","","","0","","","","","0.0","0","96","","-14.0","-14.0","-14.0","-12.0","-9.0","-14.0","","Light","L","Merike","","","2019-01-15 05:54:30","2019-01-15 05:54:30","fongemie","","0","174.192.25.224","4469","lzyxt"
"2019-01-16","05:45","Overcast","OVC","","","","","","","","T","","","","","0.0","T","95","1","-8.0","-10.0","-10.0","-9.0","-8.0","-12.0","","Light","L","Merike","","","2019-01-16 05:52:35","2019-01-16 05:52:35","fongemie","","0","174.192.10.216","4470","6wj8p"
"2019-01-17","05:45","","","","","","","","","","T","","","","","0.0","T","94","1","-26.0","-22.0","-18.0","-24.0","-8.0","-24.0","","Moderate","M","Merike","Plot very wind-blown--I estimate we got at least 2cm of snow yesterday, but the boards don't reflect that, and the stake went down!","","2019-01-17 05:56:00","2019-01-17 05:56:00","fongemie","","0","174.192.25.2","4471","hshnc"
"2019-01-18","05:50","Broken","BKN","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","3","T","","","","","0.0","","","","-18.0","-18.0","-18.0","","","","","","","","","","2019-01-18 05:57:18","2019-01-18 05:57:18","fongemie","","0","174.192.10.178","4472","7arvy"
"2019-01-19","05:57","Clear","CLR","No precipitation","NO","","","","","","1","","","","","0.0","","91","1","-20.0","-16.0","-13.0","-16.7","-7.2","-22.8","","Calm","C","Kevin","On and off snow shower i  the last 24hrs, with gusty winds. We received about 5.88 cm of anow but it didnt collect on the boards","","2019-01-19 05:56:37","2019-01-19 05:56:37","fongemie","","0","174.192.27.137","4473","d7zei"
"2019-01-20","06:04","Overcast","OVC","Graupel and hail","GR","Heavy snowfall","S5","Graupel","gp","0.2","12","0.9","11.5","","","11.0","1","106","0","-15.0","-14.0","-12.0","-12.8","-12.2","-17.2","","Moderate","M","Kevin","Steady moderate wind with strong gusts. Major snow storm in process.","","2019-01-20 06:12:45","2019-01-20 06:12:45","fongemie","","0","174.192.19.148","4474","66s59"
"2019-01-21","05:51","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1.0","18","1.5","18.0","","","15","","117","","-33.3","-30.0","-27.8","-25.6","-21.7","-25.6","","Light","L","Megan","Storm has abated but doesnt appear to be over yet. HST not measured yet.","","2019-01-21 06:12:19","2019-01-21 06:12:19","fongemie","","0","174.192.3.106","4475","mugm0"
"2019-01-22","06:24","Clear","CLR","No precipitation","NO","","","","","","T","","","","","0.0","26","117","","-27.8","-28.3","-22.8","-27.8","-21.7","-31.7","","Light","L","Megan","Evidence of snow accumulation in past 24 hours, but no snow at plot measurement site, HN24 trace","","2019-01-22 06:28:16","2019-01-22 06:28:16","fongemie","","0","174.192.50.241","4476","ziqsw"
"2019-01-23","05:46","Overcast","OVC","Snow","SN","Light snowfall","S1","Colums","cl","0.5","T","","","","","0.0","T","110","7","-14.0","-15.0","-20.0","-7.0","-7.0","-25.0","","Moderate","M","Megan","Evidence of small amount of snowfall overnight seen on trails, this is not reflected on the snowplot.","","2019-01-23 05:58:43","2019-01-23 05:58:43","fongemie","","0","97.35.2.65","4477","hegbe"
"2019-01-24","05:45","Overcast","OVC","Rain","RA","Moderate Rain","RM","","","","0","","","","","0.0","","108","2","-2.0","-8.0","-9.0","3.3","3.3","-10.6","","Light","L","Megan","Rain accumulation 0.5-1 inch in the last 24 hrs.","","2019-01-24 05:52:40","2019-01-24 05:52:40","fongemie","","0","174.192.2.239","4478","sbhdg"
"2019-01-25","05:50","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Colums, Stellars and dendrites","cl, sd","1","1","","","","","0.0","1","104","4","-10.0","-2.0","0.0","-10.0","6.0","-14.0","","Moderate","M","Merike","1"" of rain yesterday. 
Small flakes of relatively light snow coming down overnight/now with length of wind, so it's drifting some and plot is slightly affected.","","2019-01-25 06:01:28","2019-01-25 06:01:28","fongemie","","0","174.192.10.168","4479","xo7vd"
"2019-01-26","05:50","Scattered","SCT","","","","","","","","2","2.0","2.0","","","10.0","2","104","","-20.0","-12.0","-8.0","-18.5","-8.5","-19.0","","Light","L","Merike","","","2019-01-26 06:03:57","2019-01-26 06:03:57","fongemie","","0","174.192.17.207","4480","olomo"
"2019-01-27","05:45","Broken","BKN","","","","","","","","T","","","","","0.0","T","105","","-18.0","-17.0","-14.0","-14.0","-14.0","-18.0","","Moderate","M","Merike","","","2019-01-27 05:55:28","2019-01-27 05:55:28","fongemie","","0","174.192.14.122","4481","8hyuq"
"2019-01-08","05:32","Clear, Obscured","CLR, X","Snow","SN","Light snowfall","S1","Stellars and dendrites, Irregular crystals","sd, ir","2","1","","","","","0.0","1","70","1","-7.0","-5.0","-5.0","-6.0","-3.0","-22.0","","Strong","S","Charlotte","Strong winds blowing snow everywhere. Snowboards were half cleared by wind, and the other half was affected as well. Hard to guess how much has actually fallen due to conditions. 
Snow stake has also been affected, as it wad still at 71 cm at 8 pm last night, and without the wind, would still be climbing.
Snow crystals are hard to discern.  They are quite smashed to pieces, but the few intact crystals that I managed to observe were ST D-2","","2019-01-08 05:52:02","2019-01-08 09:59:57","fongemie","fongemie","0","174.192.22.151","4482","uxnov"
"2019-01-09","05:28","Overcast","OVC","No precipitation","NO","","","","","","2","4.5","2.2","","","20","2","71","1","-2.0","-2.0","-2.0","0.5","1.0","-6.0","","Light","L","Charlotte","Yesterday's winds whipped things up a bit, then dropped off as the temp rose to and then above freezing. 

Snow boards show an even 2 cm.

Hiked through both drifts and exposed melt crust yesterday. Things this morning are definitely damp and more packed.","","2019-01-09 05:46:02","2019-01-16 14:27:02","fongemie","","0","174.192.27.200","4483","4tawf"
"2019-01-10","05:32","Overcast","OVC","Snow","SN","Light snowfall","S1","Stellars and dendrites","sd","1.5","24","24.5","24.0","","","10","24","95","0","-10.0","-7.0","-6.0","-11.0","0.5","-11.0","","Light","L","Charlotte","Snow has been blown around quite a bit. Back of boards @25, front closer to 22/23.","","2019-01-10 05:50:51","2019-01-10 05:50:51","fongemie","","0","174.192.9.73","4484","js5bg"
"2019-01-11","06:05","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","2","8","12.0","7.0","","","17.1","28","104","","-22.0","-18.0","-14.0","-22.0","-10.0","-22.0","","Moderate","M","Merike","","","2019-01-11 06:27:38","2019-01-11 06:27:38","fongemie","","0","174.192.16.85","4485","3qobb"
"2019-01-12","05:50","Overcast","OVC","","","","","","","","T","","","","","0.0","T","104","","-24.0","-21.0","-19.0","-25.0","-20.0","-26.0","","Moderate","M","Merike","","","2019-01-12 06:00:24","2019-01-12 06:00:24","fongemie","","0","174.192.10.176","4486","v8g83"
"2019-02-08","05:45","Overcast","OVC","","","","","","","","","","","","","0.0","","102","10","-6.0","-6.0","-6.0","5.0","6.0","0.0","","Strong","S","Merike","Lots of melt yesterday and continuing this morning. Trace rain last night.","","2019-02-08 06:00:37","2019-02-08 06:00:37","fongemie","","0","174.192.14.199","4487","4cd9m"
"2019-02-09","05:45","Few","FEW","","","","","","","","T","","","","","0.0","T","99","3","-22.0","-18.0","-14.0","-22.0","5.0","-22.0","","Extreme","E","Merike","Dusting of snow last night is very windblown on top of the crusty snowpack.","","2019-02-09 05:57:44","2019-02-09 05:57:44","fongemie","","0","174.192.48.60","4488","oeeyo"
"2019-02-10","05:45","","","","","","","","","","","","","","","0.0","","99","","-24.0","-22.0","-16.0","-22.0","-16.0","-22.0","","Strong","S","Merike","","","2019-02-10 05:58:50","2019-02-10 05:58:50","fongemie","","0","174.192.4.116","4489","jufvu"
"2019-02-11","05:40","Few","FEW","","","","","","","","","","","","","0.0","","99","","-22.0","-20.0","-16.0","-22.0","-14.0","-22.0","","Light","L","Merike","","","2019-02-11 05:47:45","2019-02-11 05:47:45","fongemie","","0","174.192.13.144","4490","kq8jw"
"2019-02-12","05:45","Clear","CLR","","","","","","","","","","","","","0.0","","99","","-20.0","-17.0","-18.0","-12.0","-12.0","-22.0","","Moderate","M","Merike","","","2019-02-12 05:52:06","2019-02-12 05:52:06","fongemie","","0","174.192.14.227","4491","ipdlc"
"2019-02-13","05:45","Obscured","X","Snow","SN","Moderate snowfall","S2","Needles","nd","1","20","48.0","20.0","","99.24","24.0","20","121","","-12.0","-13.0","-14.0","-10.0","-7.0","-10.0","","Strong","S","Merike","Snowplot is very wind-affected, and snow has drifted substantially around the plates. The density recorded is that of a well-packed drift.","","2019-02-13 06:05:28","2019-02-13 06:05:28","fongemie","","0","174.192.56.172","4492","jiapv"
"2019-02-14","05:45","Obscured","X","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1.5mm","13","10.0","13.0","","99.24","7.7","32","137","","-18.0","-17.0","-15.0","-13.0","-5.0","-13.0","","Light","L","Merike","Plot is slightly wind affected (back of plate had ~2cm more than front) but not nearly as drifted as yesterday.","","2019-02-14 06:01:43","2019-02-14 06:01:43","fongemie","","0","174.192.10.216","4493","iebg0"
"2019-01-28","06:10","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","2","6","4.5","6.0","","","7.5","6","107","","-18.0","-14.0","-9.0","-17.0","-6.0","-17.0","","Moderate","M","Merike","VERY windy all day yesterday, lots of blowing snow. I'd estimate we got about 8cm more than the snow plot reflects. The plates were drifting clear until the overnight hours.","","2019-01-28 06:24:07","2019-01-28 06:24:07","fongemie","","0","174.192.5.59","4494","qoewz"
"2019-01-29","05:45","Broken","BKN","","","","","","","","T","","","","","0.0","T","104","3","-12.0","-12.0","-9.0","-11.0","-11.0","-19.0","","Light","L","Merike","","","2019-01-29 05:52:50","2019-01-29 05:52:50","fongemie","","0","174.192.23.247","4495","jur4y"
"2019-02-15","05:45","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Stellars and dendrites","sd","1.5","12","4.0","12.0","","40","","13","137","0","-6.0","-8.0","-9.0","-3.0","-3.0","-14.4","NW","Moderate","M","PETER HOWE","","","2019-02-15 06:35:06","2019-02-15 06:35:06","fongemie","","0","174.192.19.210","4496","4bg56"
"2019-01-30","05:50","Overcast","OVC","Snow","SN","Light snowfall","S1","Plates","pl",".5","19","22.0","19.0","","","11.6","19","124","","-9.0","-9.0","-8.0","-8.0","-8.0","-11.0","","Light","L","Merike","VERY windy last night as the bulk of the snow fell. If anything I'd say it drifted (and packed) more snow into the plot. Flakes are tiny tiny and difficult to identify form.","","2019-01-30 06:06:28","2019-01-30 06:06:28","fongemie","","0","174.192.18.182","4497","qdhpg"
"2019-02-16","05:45","Overcast","OVC","No precipitation","NO","","","","","","4","5.0","4.0","","50","","4","124","13","-12.0","-8.0","-7.0","-12.0","-8.0","-12.0","NW","Light","L","Peter Howe","","","2019-02-16 06:24:03","2019-02-16 06:24:03","fongemie","","0","174.192.0.162","4498","9ef2b"
"2019-01-31","05:50","Overcast","OVC","Snow","SN","Very light snowfall","S-1","Plates","pl",".5","8","5.0","8.0","","","6.3","27","132","","-30.0","-18.0","-14.0","-26.0","-8.0","-26.0","","Strong","S","Merike","","","2019-01-31 06:01:28","2019-01-31 06:01:28","fongemie","","0","174.192.16.37","4499","s8qo2"
"2019-02-01","06:29","Few","FEW","","","","","","","","","","","","","0.0","","127","5","-12.0","-9.0","0.0","-24.4","-22.2","-26.7","","Light","L","Kevin","","","2019-02-01 06:31:02","2019-02-01 06:31:02","fongemie","","0","174.192.23.39","4500","mwsjn"
"2019-02-02","05:14","Overcast","OVC","","","","","","","","","","","","","0.0","","125","2","-16.0","-12.0","-8.0","-20.6","-18.9","-24.5","","Light","L","Kevin","","","2019-02-02 05:16:27","2019-02-02 05:16:27","fongemie","","0","174.192.5.91","4501","fh5cn"
