date,depth_cm
2012-04-19,58
2012-04-20,55
2012-04-21,50
2012-04-22,35
2012-04-23,35
2012-04-24,25
2012-04-25,23
2012-04-26,
2012-04-27,
2018-01-20,86
2018-01-21,86
2018-01-22,86
2018-01-23,89
2018-01-24,91
2018-01-25,90
2018-01-26,90
2018-01-27,90
2018-01-28,90
2018-01-29,90
2018-01-30,90
2018-01-31,90
2018-02-01,90
2018-02-02,96
2018-02-03,95
2018-02-04,95
2018-02-05,111
2018-02-06,115
2018-02-07,115
2018-02-08,134
2018-02-09,131
2018-02-10,133
2018-02-11,130
2018-02-12,123
2018-02-13,123
2018-02-14,121
2018-02-15,121
2018-02-16,118
2018-02-17,120
2018-02-18,125
2018-02-19,124
2018-02-20,116
2018-02-21,100
2018-02-22,90
2018-02-23,90
2018-02-24,92
2018-02-25,92
2018-02-26,100
2018-02-27,100
2018-02-28,100
2018-03-01,99
2018-03-02,100
2018-03-02,0
2018-03-03,106
2018-03-04,105
2018-03-05,110
2018-03-06,109
2018-03-07,107
2018-03-08,127
2018-03-09,136
2018-03-10,142
2018-03-11,165
2018-03-12,158
2018-03-13,153
2018-03-14,189
2018-03-15,204
2018-03-16,201
2018-03-17,195
2018-03-18,197
2018-03-19,184
2018-03-20,179
2018-03-21,175
2018-03-22,173
2018-03-23,170
2018-03-24,168
2018-03-25,172
2018-03-26,169
2018-03-27,165
2018-03-28,162
2018-03-29,159
2018-03-30,151
2018-03-31,145
2018-04-01,144
2018-04-02,144
2018-04-03,144
2018-04-04,144
2018-04-05,142
2018-04-06,142
2018-04-07,160
2018-04-08,159
2018-04-09,164
2018-04-10,159
2018-04-11,167
2018-04-12,165
2018-04-13,159
2018-04-14,150
2018-04-15,150
2018-04-16,152
2018-04-17,159
2018-04-18,164
2018-04-19,163
2018-04-20,178
2018-04-21,182
2018-04-22,177
2018-04-23,173
2018-04-24,166
2018-04-25,158
2018-04-26,152
2018-04-26,150
2018-04-27,148
2018-04-28,145
2018-04-29,140
2018-04-30,142
2018-05-01,140
2018-05-02,135
2018-05-03,119
2018-05-04,107
2018-05-05,100
2018-05-06,92
2018-05-07,86
2018-05-08,82
2018-05-09,76
2018-05-10,70
2018-05-11,63
2018-05-12,61
2018-05-13,60
2018-05-14,45
2018-05-15,40
2018-05-15,0
2018-05-16,30
2018-05-17,20
2018-05-18,12
2018-05-19,12
2018-05-20,0
2018-05-21,0
2018-05-22,0
2018-05-23,0
2018-05-26,0
2018-05-27,0
2018-05-28,0
2018-05-29,0
2018-05-30,0
2018-11-18,75
2018-11-19,75
2018-11-20,73
2018-11-21,79
2018-11-22,93
2018-11-23,92
2018-11-24,87
2018-11-25,82
2018-11-26,80
2018-11-27,80
2018-11-28,121
2018-11-29,123
2018-11-30,118
2018-12-01,115
2018-12-02,114
2018-12-03,109
2018-12-04,110
2018-12-05,107
2018-12-06,109
2018-12-07,118
2018-12-08,118
2018-12-09,115
2018-12-10,113
2018-12-11,109
2018-12-12,110
2018-12-13,110
2018-12-14,108
2018-12-15,108
2018-12-16,106
2018-12-17,108
2018-12-18,118
2018-12-19,115
2018-12-20,113
2018-12-21,108
2018-12-22,90
2018-12-23,88
2018-12-24,86
2018-12-25,90
2018-12-26,90
2018-12-27,91
2018-12-28,91
2018-12-29,92
2018-12-30,91
2018-12-31,91
2019-01-01,101
2019-01-02,103
2019-01-03,112
2019-01-04,116
2019-01-05,114
2019-01-06,112
2019-01-07,122
2019-01-08,120
2019-01-09,126
2019-01-10,150
2019-01-11,160
2019-01-12,155
2019-01-13,154
2019-01-14,151
2019-01-15,148
2019-01-16,148
2019-01-17,147
2019-01-18,145
2019-01-19,145
2019-01-20,158
2019-01-21,175
2019-01-22,172
2019-01-23,169
2019-01-24,163
2019-01-25,155
2019-01-26,158
2019-01-27,155
2019-01-28,170
2019-01-29,167
2019-01-30,189
2019-01-31,188
2019-02-01,184
2019-02-02,180
2019-02-03,180
2019-02-04,179
2019-02-05,171
2019-02-06,168
2019-02-07,169
2019-02-08,165
2019-02-09,164
2019-02-10,164
2019-02-11,164
2019-02-12,164
2019-02-13,187
2019-02-14,196
2019-02-15,195
2019-02-16,205
2019-02-17,204
2019-02-18,201
2019-02-19,206
2019-02-19,206
2019-02-20,201
2019-02-21,204
2019-02-22,209
2019-02-23,206
2019-02-24,203
2019-02-25,227
2019-02-26,234
2019-02-27,230
2019-02-28,229
2019-03-01,227
2019-03-02,225
2019-03-03,226
2019-03-04,228
2019-03-05,230
2019-03-06,231
2019-03-07,230
2019-03-08,225
2019-03-09,223
2019-03-10,220
2019-03-11,230
2019-03-12,237
2019-03-13,235
2019-03-14,234
2019-03-15,225
2019-03-16,215
2019-03-17,218
2019-03-18,216
2019-03-19,215
2019-03-20,214
2019-03-21,213
2019-03-22,213
2019-03-23,253
2019-03-24,250
2019-03-25,249
2019-03-26,245
2019-03-27,243
2019-03-28,240
2019-03-29,238
2019-03-30,234
2019-03-31,225
2019-04-01,219
2019-04-02,219
2019-04-03,216
2019-04-04,214
2019-04-05,214
2019-04-06,217
2019-04-07,216
2019-04-08,215
2019-04-09,219
2019-04-10,224
2019-04-11,222
2019-04-12,219
2019-04-13,207
2019-04-14,200
2019-04-15,193
2019-04-16,190
2019-04-17,190
2019-04-18,185
2019-04-19,180
2019-04-20,175
2019-04-21,160
2019-04-22,156
2019-04-23,152
2019-04-24,146
2019-04-25,145
2019-04-26,143
2019-04-27,142
2019-04-28,147
2019-04-29,138
2019-04-30,138
2019-05-01,138
2019-05-02,130
2019-05-03,130
2019-05-04,128
2019-05-05,125
2019-05-06,123
2019-05-07,118
2019-05-08,112
2019-05-09,110
2019-05-10,103
2019-05-11,96
2019-05-12,93
2019-05-13,85
2019-05-14,89
2019-05-15,89
2019-05-16,84
2019-05-17,84
2019-05-18,80
2019-05-19,72
2019-05-20,68
2019-05-21,60
2019-05-22,60
2019-05-23,54
2019-05-24,43
2019-05-25,36
2019-05-26,22
2019-05-27,10
2019-05-28,0
2019-05-29,0
2019-05-30,0
2019-05-31,0
2019-11-11,18
2019-11-14,12
2019-11-15,20
2019-11-16,23
2019-11-17,23
2019-11-18,21
2019-11-19,17
2019-11-20,19
2019-11-21,20
2019-11-22,18
2019-11-23,23
2019-11-24,22
2019-11-25,53
2019-11-26,53
2019-11-27,49
2019-11-28,59
2019-11-29,60
2019-11-30,57
2019-12-01,56
2019-12-02,62
2019-12-03,63
2019-12-04,65
2019-12-05,64
2019-12-06,67
2019-12-07,74
2019-12-08,73
2019-12-09,71
2019-12-10,59
2019-12-11,55
2019-12-12,55
2019-12-13,55
2019-12-14,55
2019-12-15,50
2019-12-16,53
2019-12-17,51
2019-12-18,62
2019-12-19,79
2019-12-20,73
2019-12-21,70
2019-12-22,68
2019-12-23,66
2019-12-24,66
2019-12-25,64
2019-12-26,64
2019-12-27,62
2019-12-28,59
2019-12-29,59
2019-12-30,65
2019-12-31,85
2020-01-01,95
2020-01-02,103
2020-01-03,99
2020-01-04,96
2020-01-05,100
2020-01-06,101
2020-01-07,105
2020-01-08,105
2020-01-09,110
2020-01-10,108
2020-01-11,104
2020-01-12,85
2020-01-13,79
2020-01-14,79
2020-01-15,82
2020-01-16,85
2020-01-17,107
2020-01-18,103
2020-01-19,112
2020-01-20,111
2020-01-21,106
2020-01-22,105
2020-01-23,104
2020-01-24,102
2020-01-25,102
2020-01-26,113
2020-01-27,114
2020-01-28,119
2020-01-29,117
2020-01-30,116
2020-01-31,115
2020-02-01,115
2020-02-02,115
2020-02-03,115
2020-02-04,115
2020-02-05,114
2020-02-06,117
2020-02-07,119
2020-02-08,132
2020-02-09,131
2020-02-10,133
2020-02-11,141
2020-02-12,142
2020-02-13,142
2020-02-14,146
2020-02-15,144
2020-02-16,142
2020-02-17,141
2020-02-18,140
2020-02-19,158
2020-02-20,160
2020-02-21,125
2020-02-21,153
2020-02-22,151
2020-02-23,149
2020-02-24,147
2020-02-25,145
2020-02-26,145
2020-02-27,146
2020-02-28,175
2020-02-29,174
2020-03-01,172
2020-03-02,172
2020-03-03,172
2020-03-04,168
2020-03-05,165
2020-03-06,164
2020-03-07,164
2020-03-08,163
2020-03-09,161
2020-03-10,159
2020-03-11,153
2020-03-12,153
2020-03-13,153
2020-03-14,158
2020-03-15,158
2020-03-16,156
2020-03-17,156
2020-03-18,157
2020-03-19,156
2020-03-20,154
2020-03-21,145
2020-03-22,145
2020-03-23,144
2020-03-24,171
2020-03-25,169
2020-03-26,165
2020-03-27,163
2020-04-01,166
2020-04-02,165
2020-04-03,168
2020-04-05,0
2020-04-08,159
2020-04-09,158
2020-04-10,200
2020-04-11,222
2020-04-12,216
2020-04-13,206
2020-12-05,2
2020-12-06,37
2020-12-07,38
2020-12-08,41
2020-12-09,40
2020-12-11,39
2020-12-12,36
2020-12-13,35
2020-12-14,30
2020-12-15,30
2020-12-16,30
2020-12-17,32
2020-12-18,45
2020-12-19,45
2020-12-20,40
2020-12-21,40
2020-12-22,40
2020-12-23,45
2020-12-24,42
2020-12-25,32
2020-12-26,15
2022-12-11,10
2022-12-12,12
2022-12-13,12
2022-12-14,15
2022-12-15,14
2022-12-16,14
2022-12-17,55
2022-12-18,50
2022-12-19,50
2022-12-20,54
2022-12-21,45
2022-12-22,43
2022-12-23,58
2022-12-24,42
2022-12-25,42
2022-12-26,42
2022-12-27,42
2022-12-28,43
2022-12-29,17
2022-12-30,42
2022-12-31,35
2023-01-01,25
2023-01-02,51
2023-01-03,25
2023-01-04,25
2023-01-05,25
2023-01-06,25
2023-01-07,32
2023-01-08,35
2023-01-09,35
2023-01-10,36
2023-01-11,35
2023-01-12,35
2023-01-13,47
2023-01-15,40
2023-01-16,40
2023-01-16,40
2023-01-18,40
2023-01-19,40
2023-01-20,57
2023-01-21,64
2023-01-22,62
2023-01-23,68
2023-01-24,76
2023-01-25,74
2023-01-26,88
2023-01-27,87
2023-01-28,85
2023-01-29,84
2023-01-30,85
2023-01-31,98
2023-02-01,89
2023-02-02,86
2023-02-03,89
2023-02-04,86
2023-02-05,85
2023-02-06,85
2023-02-07,84
2023-02-08,86
2023-02-09,86
2023-02-10,87
2023-02-11,88
2023-02-12,87
2023-02-13,85
2023-02-14,88
2023-02-15,92
2023-02-16,86
2023-02-17,86
2023-02-18,83
2023-02-19,83
2023-02-20,83
2023-02-21,85
2023-02-22,88
2023-02-23,100
2023-02-24,107
2023-02-25,105
2023-02-26,105
2023-02-27,110
2023-02-28,111
2023-03-01,140
2023-03-02,132
2023-03-03,140
2023-03-04,154
2023-03-05,163
2023-03-06,160
2023-03-07,155
2023-03-08,154
2023-03-09,152
2023-03-10,148
2023-03-11,146
2023-03-12,144
2023-03-13,143
2023-03-14,155
2023-03-15,185
2023-03-16,180
2023-03-17,173
2023-03-18,169
2023-03-19,175
2023-03-20,168
2023-03-21,167
2023-03-22,164
2023-03-23,160
2023-03-24,155
2023-03-25,155
2023-03-26,162
2023-03-28,160
2023-03-29,158
2023-03-30,163
2023-03-31,162
2023-04-01,165
2023-04-02,157
2023-04-03,155
2023-04-04,155
2023-04-05,155
2023-04-06,149
2023-04-07,139
2023-04-08,138
2023-04-09,138
2023-04-10,135
2023-04-11,130
2023-04-12,125
2023-04-13,120
2023-04-14,110
2023-04-15,105
2023-04-16,103
2023-04-17,95
2023-04-18,86
2023-04-19,87
2023-04-20,87
2023-04-21,85
2023-04-22,87
2023-04-23,80
2023-04-24,90
2023-04-25,95
2023-04-26,100
2023-04-27,100
2023-04-28,95
2023-04-29,88
2023-04-30,88
2023-04-30,88
2023-05-03,94
2023-05-04,108
2023-05-05,104
2023-05-07,85
2023-05-08,86
2023-05-09,80
2023-05-10,72
2023-05-10,73
2023-05-12,65
2023-05-13,60
2023-05-14,53
2023-05-15,48
2023-05-16,40
2023-05-17,34
2023-05-18,34
2023-05-19,30
2023-05-20,20
2023-05-21,15
2023-05-22,10
2023-12-02,40
2023-12-03,38
2023-12-04,65
2023-12-05,68
2023-12-06,64
2023-12-07,61
2023-12-08,60
2023-12-09,57
2023-12-10,52
2023-12-11,37
2023-12-11,42
2023-12-13,43
2023-12-14,46
2023-12-14,49
2023-12-15,47
2023-12-16,45
2023-12-17,45
2023-12-18,37
2023-12-19,0
2023-12-20,0
2023-12-21,0
2023-12-23,0
2023-12-24,0
2023-12-25,0
2023-12-26,0
2023-12-27,0
2023-12-28,0
2023-12-29,0
2023-12-30,7
2023-12-31,8
2024-01-01,7
2024-01-02,6
2024-01-03,6
2024-01-04,5
2024-01-05,5
2024-01-06,7
2024-01-07,12
2024-01-08,20
2024-01-09,23
2024-01-10,65
2024-01-11,65
2024-01-12,65
2024-01-13,64
2024-01-14,78
2024-01-15,85
2024-01-16,83
2024-01-17,95
2024-01-18,93
2024-01-19,90
2024-01-20,90
2024-01-21,93
2024-01-22,89
2024-01-23,85
2024-01-24,85
2024-01-25,78
2024-01-26,79
2024-01-27,83
2024-01-28,83
2024-01-29,87
2024-01-30,85
2024-01-31,84
2024-02-01,83
2024-02-02,82
2024-02-03,83
2024-02-04,83
2024-02-05,81
2024-02-06,81
2024-02-07,81
2024-02-08,80
2024-02-09,75
2024-02-10,75
2024-02-11,75
2024-02-12,82
2024-02-13,78
2024-02-14,82
2024-02-15,85
2024-02-16,87
2024-02-17,90
2024-02-18,88
2024-02-19,85
2024-02-20,84
2024-02-21,85
2024-02-22,84
2024-02-23,85
2024-02-24,84
2024-02-25,84
2024-02-26,85
2024-02-27,83
2024-02-28,73
2024-02-29,70
2024-03-01,70
2024-03-02,67
2024-03-03,67
2024-03-04,65
2024-03-05,63
2024-03-06,55
2024-03-07,50
2024-03-08,50
2024-03-09,54
2024-03-10,81
2024-03-11,96
2024-03-12,91
2024-03-13,91
2024-03-14,83
2024-03-15,93
2024-03-16,95
2024-03-17,97
2024-03-18,110
2024-03-19,119
2024-03-20,115
2024-03-21,129
2024-03-22,125
2024-03-23,129
2024-03-24,172
2024-03-25,165
2024-03-26,162
2024-03-27,144
2024-03-28,118
2024-03-29,113
2024-03-30,110
2024-03-31,108
2024-04-01,108
2024-04-02,106
2024-04-03,106
2024-04-04,127
2024-04-05,145
2024-04-06,150
2024-04-07,150
2024-04-08,150
2024-04-09,150
2024-04-10,136
2024-04-11,126
2024-04-12,115
2024-04-13,105
2024-04-14,102
2024-04-15,102
2024-04-16,100
2024-04-17,100
